node_id,level1,level2,leaf_id,layer_id,flow,node_name,layer_name
10,3,148,NA,4,3.29454e-4,ASV_00010,FI1
10,1,1,314,5,6.6229e-4,ASV_00010,UK1
10,1,3,13,6,3.23316e-4,ASV_00010,UK2
10,2,118,NA,7,3.72777e-4,ASV_00010,SE1
11,1,4,175,1,2.17178e-4,ASV_00011,IT1
11,1,2,10,2,7.32464e-4,ASV_00011,IT2
11,1,4,512,3,1.47556e-5,ASV_00011,IT3
11,3,326,NA,4,1.16296e-4,ASV_00011,FI1
11,1,1,348,5,6.2066e-4,ASV_00011,UK1
11,1,3,515,6,1.15688e-4,ASV_00011,UK2
11,2,195,NA,7,3.10769e-4,ASV_00011,SE1
12,1,4,64,1,2.91383e-4,ASV_00012,IT1
12,1,2,508,2,2.1252e-4,ASV_00012,IT2
12,3,242,NA,4,2.33189e-4,ASV_00012,FI1
12,1,1,413,5,5.52648e-4,ASV_00012,UK1
12,1,3,360,6,1.56045e-4,ASV_00012,UK2
12,2,321,NA,7,2.34784e-4,ASV_00012,SE1
13,1,4,7,1,3.99381e-4,ASV_00013,IT1
13,1,2,466,2,2.47201e-4,ASV_00013,IT2
13,1,4,335,3,6.06318e-5,ASV_00013,IT3
13,3,84,NA,4,3.82943e-4,ASV_00013,FI1
13,1,1,14,5,0.00101048,ASV_00013,UK1
13,1,3,421,6,1.43288e-4,ASV_00013,UK2
13,2,419,NA,7,1.49473e-4,ASV_00013,SE1
14,1,4,295,1,1.19686e-4,ASV_00014,IT1
14,1,2,275,2,3.69033e-4,ASV_00014,IT2
14,1,4,311,3,7.54012e-5,ASV_00014,IT3
14,3,66,NA,4,4.04291e-4,ASV_00014,FI1
14,1,1,449,5,4.79886e-4,ASV_00014,UK1
14,1,3,491,6,1.2214e-4,ASV_00014,UK2
14,2,180,NA,7,3.19864e-4,ASV_00014,SE1
15,1,4,210,1,1.97264e-4,ASV_00015,IT1
15,1,2,361,2,3.1877e-4,ASV_00015,IT2
15,1,4,387,3,4.44708e-5,ASV_00015,IT3
15,3,169,NA,4,3.04784e-4,ASV_00015,FI1
15,1,1,396,5,5.70586e-4,ASV_00015,UK1
15,1,3,286,6,1.72484e-4,ASV_00015,UK2
15,2,410,NA,7,1.63754e-4,ASV_00015,SE1
16,1,2,103,2,5.08336e-4,ASV_00016,IT2
16,1,4,465,3,2.80797e-5,ASV_00016,IT3
16,3,62,NA,4,4.10071e-4,ASV_00016,FI1
16,1,1,68,5,9.07851e-4,ASV_00016,UK1
16,1,3,602,6,8.26949e-5,ASV_00016,UK2
16,2,344,NA,7,2.188e-4,ASV_00016,SE1
17,1,4,107,1,2.64174e-4,ASV_00017,IT1
17,1,2,460,2,2.50615e-4,ASV_00017,IT2
17,1,4,370,3,4.92476e-5,ASV_00017,IT3
17,1,1,4,5,0.00111699,ASV_00017,UK1
17,1,3,392,6,1.49057e-4,ASV_00017,UK2
18,1,4,303,1,1.03845e-4,ASV_00018,IT1
18,1,2,257,2,3.87368e-4,ASV_00018,IT2
18,1,4,520,3,6.80167e-6,ASV_00018,IT3
18,3,47,NA,4,4.38074e-4,ASV_00018,FI1
18,1,1,255,5,7.21145e-4,ASV_00018,UK1
18,1,3,366,6,1.55121e-4,ASV_00018,UK2
18,2,263,NA,7,2.76205e-4,ASV_00018,SE1
19,1,4,159,1,2.32149e-4,ASV_00019,IT1
19,1,2,140,2,4.67243e-4,ASV_00019,IT2
19,1,4,345,3,5.71861e-5,ASV_00019,IT3
19,3,307,NA,4,1.58622e-4,ASV_00019,FI1
19,1,1,392,5,5.75546e-4,ASV_00019,UK1
19,1,3,591,6,9.03745e-5,ASV_00019,UK2
19,2,304,NA,7,2.4858e-4,ASV_00019,SE1
20,1,4,217,1,1.9165e-4,ASV_00020,IT1
20,1,2,124,2,4.83916e-4,ASV_00020,IT2
20,1,4,487,3,2.20731e-5,ASV_00020,IT3
20,3,224,NA,4,2.4919e-4,ASV_00020,FI1
20,1,1,127,5,8.2853e-4,ASV_00020,UK1
20,1,3,213,6,1.90001e-4,ASV_00020,UK2
20,2,201,NA,7,3.08213e-4,ASV_00020,SE1
21,1,2,336,2,3.33452e-4,ASV_00021,IT2
21,1,4,518,3,7.11983e-6,ASV_00021,IT3
21,3,119,NA,4,3.56997e-4,ASV_00021,FI1
21,1,1,441,5,4.98044e-4,ASV_00021,UK1
21,1,3,275,6,1.74565e-4,ASV_00021,UK2
21,2,273,NA,7,2.72771e-4,ASV_00021,SE1
22,1,4,76,1,2.83207e-4,ASV_00022,IT1
22,1,2,16,2,6.74178e-4,ASV_00022,IT2
22,1,4,394,3,4.21589e-5,ASV_00022,IT3
22,3,268,NA,4,1.99203e-4,ASV_00022,FI1
22,1,1,257,5,7.20256e-4,ASV_00022,UK1
22,1,3,416,6,1.44337e-4,ASV_00022,UK2
22,2,19,NA,7,5.53422e-4,ASV_00022,SE1
23,1,4,148,1,2.37597e-4,ASV_00023,IT1
23,1,2,74,2,5.33567e-4,ASV_00023,IT2
23,1,4,357,3,5.25297e-5,ASV_00023,IT3
23,3,88,NA,4,3.80013e-4,ASV_00023,FI1
23,1,1,482,5,3.40492e-4,ASV_00023,UK1
23,1,3,425,6,1.4294e-4,ASV_00023,UK2
23,2,384,NA,7,1.87054e-4,ASV_00023,SE1
24,1,4,109,1,2.61402e-4,ASV_00024,IT1
24,1,2,264,2,3.79202e-4,ASV_00024,IT2
24,1,4,326,3,6.27449e-5,ASV_00024,IT3
24,3,30,NA,4,4.69862e-4,ASV_00024,FI1
24,1,1,439,5,5.02221e-4,ASV_00024,UK1
24,1,3,42,6,2.6691e-4,ASV_00024,UK2
24,2,49,NA,7,4.64122e-4,ASV_00024,SE1
25,1,4,203,1,2.00371e-4,ASV_00025,IT1
25,1,2,13,2,6.90101e-4,ASV_00025,IT2
25,1,4,438,3,3.39923e-5,ASV_00025,IT3
25,1,1,383,5,5.85174e-4,ASV_00025,UK1
26,1,4,43,1,3.17411e-4,ASV_00026,IT1
26,1,2,535,2,1.8236e-4,ASV_00026,IT2
26,1,4,348,3,5.60981e-5,ASV_00026,IT3
26,3,175,NA,4,3.02836e-4,ASV_00026,FI1
26,1,1,464,5,4.34873e-4,ASV_00026,UK1
26,1,3,571,6,9.99102e-5,ASV_00026,UK2
26,2,191,NA,7,3.13226e-4,ASV_00026,SE1
27,2,270,NA,7,2.73024e-4,ASV_00027,SE1
28,1,4,254,1,1.71419e-4,ASV_00028,IT1
28,1,2,342,2,3.29873e-4,ASV_00028,IT2
28,1,4,432,3,3.55158e-5,ASV_00028,IT3
28,3,244,NA,4,2.3049e-4,ASV_00028,FI1
28,1,1,377,5,5.92135e-4,ASV_00028,UK1
28,1,3,223,6,1.87832e-4,ASV_00028,UK2
28,2,132,NA,7,3.57188e-4,ASV_00028,SE1
29,1,4,280,1,1.4543e-4,ASV_00029,IT1
29,1,2,373,2,3.10673e-4,ASV_00029,IT2
29,1,4,365,3,5.06921e-5,ASV_00029,IT3
29,3,55,NA,4,4.20938e-4,ASV_00029,FI1
29,1,1,320,5,6.57863e-4,ASV_00029,UK1
29,1,3,240,6,1.84011e-4,ASV_00029,UK2
29,2,442,NA,7,1.10383e-4,ASV_00029,SE1
30,1,4,214,1,1.92366e-4,ASV_00030,IT1
30,1,2,126,2,4.80848e-4,ASV_00030,IT2
30,1,4,430,3,3.65752e-5,ASV_00030,IT3
30,3,136,NA,4,3.44942e-4,ASV_00030,FI1
30,1,1,144,5,8.14369e-4,ASV_00030,UK1
30,1,3,20,6,2.92855e-4,ASV_00030,UK2
30,2,79,NA,7,4.11767e-4,ASV_00030,SE1
31,1,4,91,1,2.75712e-4,ASV_00031,IT1
31,1,2,159,2,4.54662e-4,ASV_00031,IT2
31,1,4,491,3,2.05338e-5,ASV_00031,IT3
31,3,14,NA,4,5.05747e-4,ASV_00031,FI1
31,1,1,177,5,7.84026e-4,ASV_00031,UK1
31,1,3,499,6,1.20166e-4,ASV_00031,UK2
31,2,122,NA,7,3.68913e-4,ASV_00031,SE1
32,1,4,219,1,1.90628e-4,ASV_00032,IT1
32,1,2,428,2,2.76872e-4,ASV_00032,IT2
32,1,4,332,3,6.1983e-5,ASV_00032,IT3
32,3,163,NA,4,3.14231e-4,ASV_00032,FI1
32,1,1,350,5,6.18235e-4,ASV_00032,UK1
32,1,3,226,6,1.87383e-4,ASV_00032,UK2
32,2,130,NA,7,3.5949e-4,ASV_00032,SE1
33,1,4,114,1,2.55705e-4,ASV_00033,IT1
33,1,2,208,2,4.14463e-4,ASV_00033,IT2
33,1,4,461,3,2.85572e-5,ASV_00033,IT3
33,3,21,NA,4,4.93541e-4,ASV_00033,FI1
33,1,1,317,5,6.60447e-4,ASV_00033,UK1
33,1,3,513,6,1.16855e-4,ASV_00033,UK2
33,2,39,NA,7,4.83482e-4,ASV_00033,SE1
34,1,4,92,1,2.7484e-4,ASV_00034,IT1
34,1,2,123,2,4.8534e-4,ASV_00034,IT2
34,1,4,511,3,1.51688e-5,ASV_00034,IT3
34,3,7,NA,4,5.43822e-4,ASV_00034,FI1
34,1,1,303,5,6.74746e-4,ASV_00034,UK1
34,1,3,71,6,2.49202e-4,ASV_00034,UK2
34,2,417,NA,7,1.50334e-4,ASV_00034,SE1
35,1,4,80,1,2.80936e-4,ASV_00035,IT1
35,1,2,280,2,3.65902e-4,ASV_00035,IT2
35,1,4,364,3,5.08623e-5,ASV_00035,IT3
35,3,129,NA,4,3.52019e-4,ASV_00035,FI1
35,1,1,353,5,6.16718e-4,ASV_00035,UK1
35,1,3,523,6,1.14104e-4,ASV_00035,UK2
35,2,396,NA,7,1.79017e-4,ASV_00035,SE1
36,1,4,261,1,1.65974e-4,ASV_00036,IT1
36,1,2,32,2,6.27122e-4,ASV_00036,IT2
36,1,4,503,3,1.71887e-5,ASV_00036,IT3
36,3,227,NA,4,2.47319e-4,ASV_00036,FI1
36,1,1,335,5,6.39936e-4,ASV_00036,UK1
36,1,3,558,6,1.04682e-4,ASV_00036,UK2
36,2,153,NA,7,3.40349e-4,ASV_00036,SE1
37,1,4,52,1,3.0688e-4,ASV_00037,IT1
37,1,2,291,2,3.57522e-4,ASV_00037,IT2
37,1,4,500,3,1.8371e-5,ASV_00037,IT3
37,1,1,240,5,7.35643e-4,ASV_00037,UK1
37,1,3,430,6,1.4194e-4,ASV_00037,UK2
37,2,198,NA,7,3.10396e-4,ASV_00037,SE1
38,1,4,197,1,2.06286e-4,ASV_00038,IT1
38,1,2,180,2,4.39084e-4,ASV_00038,IT2
38,1,4,492,3,2.04458e-5,ASV_00038,IT3
38,1,1,486,5,2.91082e-4,ASV_00038,UK1
38,1,3,306,6,1.69037e-4,ASV_00038,UK2
39,1,2,151,2,4.61037e-4,ASV_00039,IT2
39,3,86,NA,4,3.80238e-4,ASV_00039,FI1
39,1,1,382,5,5.85671e-4,ASV_00039,UK1
39,1,3,319,6,1.66943e-4,ASV_00039,UK2
39,2,413,NA,7,1.58439e-4,ASV_00039,SE1
40,1,4,69,1,2.86786e-4,ASV_00040,IT1
40,1,2,278,2,3.6684e-4,ASV_00040,IT2
40,1,4,346,3,5.70874e-5,ASV_00040,IT3
40,3,89,NA,4,3.79103e-4,ASV_00040,FI1
40,1,1,451,5,4.7627e-4,ASV_00040,UK1
40,1,3,100,6,2.32129e-4,ASV_00040,UK2
40,2,200,NA,7,3.08287e-4,ASV_00040,SE1
41,1,4,66,1,2.88712e-4,ASV_00041,IT1
41,1,2,80,2,5.27424e-4,ASV_00041,IT2
41,1,4,431,3,3.62644e-5,ASV_00041,IT3
41,1,1,58,5,9.19435e-4,ASV_00041,UK1
41,1,3,105,6,2.31062e-4,ASV_00041,UK2
41,2,165,NA,7,3.31435e-4,ASV_00041,SE1
42,1,4,108,1,2.63546e-4,ASV_00042,IT1
42,1,2,117,2,4.90405e-4,ASV_00042,IT2
42,1,4,406,3,4.05403e-5,ASV_00042,IT3
42,3,61,NA,4,4.10677e-4,ASV_00042,FI1
42,1,1,289,5,6.84898e-4,ASV_00042,UK1
42,1,3,575,6,9.65432e-5,ASV_00042,UK2
42,2,114,NA,7,3.78006e-4,ASV_00042,SE1
43,1,4,166,1,2.24719e-4,ASV_00043,IT1
43,1,2,242,2,3.9784e-4,ASV_00043,IT2
43,1,4,516,3,1.07882e-5,ASV_00043,IT3
43,1,1,150,5,8.09942e-4,ASV_00043,UK1
43,1,3,480,6,1.25748e-4,ASV_00043,UK2
44,1,4,84,1,2.79525e-4,ASV_00044,IT1
44,1,2,344,2,3.29206e-4,ASV_00044,IT2
44,1,4,433,3,3.47215e-5,ASV_00044,IT3
44,3,50,NA,4,4.30057e-4,ASV_00044,FI1
44,1,1,440,5,4.99331e-4,ASV_00044,UK1
44,1,3,309,6,1.68508e-4,ASV_00044,UK2
44,2,279,NA,7,2.68433e-4,ASV_00044,SE1
45,1,4,104,1,2.66519e-4,ASV_00045,IT1
45,1,2,98,2,5.17252e-4,ASV_00045,IT2
45,3,19,NA,4,4.96673e-4,ASV_00045,FI1
45,1,1,169,5,7.89428e-4,ASV_00045,UK1
45,1,3,584,6,9.41805e-5,ASV_00045,UK2
45,2,145,NA,7,3.47121e-4,ASV_00045,SE1
46,1,4,56,1,3.04663e-4,ASV_00046,IT1
46,1,2,435,2,2.69565e-4,ASV_00046,IT2
46,1,4,330,3,6.23956e-5,ASV_00046,IT3
46,3,259,NA,4,2.14609e-4,ASV_00046,FI1
46,1,1,44,5,9.38287e-4,ASV_00046,UK1
46,1,3,336,6,1.63932e-4,ASV_00046,UK2
46,2,272,NA,7,2.72941e-4,ASV_00046,SE1
47,1,4,285,1,1.37264e-4,ASV_00047,IT1
47,1,2,58,2,5.63519e-4,ASV_00047,IT2
47,1,4,470,3,2.68686e-5,ASV_00047,IT3
47,1,1,102,5,8.69916e-4,ASV_00047,UK1
48,1,4,164,1,2.26666e-4,ASV_00048,IT1
48,1,2,522,2,1.98706e-4,ASV_00048,IT2
48,1,4,395,3,4.20637e-5,ASV_00048,IT3
48,3,26,NA,4,4.82859e-4,ASV_00048,FI1
48,1,1,21,5,9.83325e-4,ASV_00048,UK1
48,1,3,134,6,2.17066e-4,ASV_00048,UK2
48,2,256,NA,7,2.79164e-4,ASV_00048,SE1
49,1,4,154,1,2.36295e-4,ASV_00049,IT1
49,1,2,145,2,4.63932e-4,ASV_00049,IT2
49,1,4,495,3,1.98817e-5,ASV_00049,IT3
49,1,1,16,5,0.00100875,ASV_00049,UK1
49,1,3,429,6,1.42235e-4,ASV_00049,UK2
49,2,25,NA,7,5.21597e-4,ASV_00049,SE1
50,1,2,246,2,3.94949e-4,ASV_00050,IT2
50,1,4,414,3,3.89014e-5,ASV_00050,IT3
50,3,63,NA,4,4.09721e-4,ASV_00050,FI1
50,1,1,50,5,9.32306e-4,ASV_00050,UK1
50,1,3,337,6,1.63697e-4,ASV_00050,UK2
50,2,300,NA,7,2.508e-4,ASV_00050,SE1
51,1,4,4,1,4.33633e-4,ASV_00051,IT1
51,1,2,453,2,2.56182e-4,ASV_00051,IT2
51,1,4,519,3,7.02174e-6,ASV_00051,IT3
51,3,207,NA,4,2.69828e-4,ASV_00051,FI1
51,1,1,431,5,5.20653e-4,ASV_00051,UK1
51,1,3,246,6,1.81947e-4,ASV_00051,UK2
51,2,166,NA,7,3.31158e-4,ASV_00051,SE1
52,1,2,233,2,4.02892e-4,ASV_00052,IT2
52,1,4,366,3,5.03931e-5,ASV_00052,IT3
52,3,108,NA,4,3.69464e-4,ASV_00052,FI1
52,1,1,418,5,5.42855e-4,ASV_00052,UK1
52,1,3,563,6,1.02207e-4,ASV_00052,UK2
52,2,406,NA,7,1.67779e-4,ASV_00052,SE1
53,1,4,127,1,2.50338e-4,ASV_00053,IT1
53,1,2,162,2,4.52269e-4,ASV_00053,IT2
53,1,4,429,3,3.66009e-5,ASV_00053,IT3
53,3,36,NA,4,4.5772e-4,ASV_00053,FI1
53,1,1,274,5,7.03046e-4,ASV_00053,UK1
53,1,3,84,6,2.42326e-4,ASV_00053,UK2
53,2,454,NA,7,9.06681e-5,ASV_00053,SE1
54,1,4,67,1,2.87775e-4,ASV_00054,IT1
54,1,2,152,2,4.60834e-4,ASV_00054,IT2
54,1,4,314,3,7.25496e-5,ASV_00054,IT3
54,3,69,NA,4,3.9981e-4,ASV_00054,FI1
54,1,1,435,5,5.15897e-4,ASV_00054,UK1
54,1,3,50,6,2.63173e-4,ASV_00054,UK2
54,2,303,NA,7,2.48603e-4,ASV_00054,SE1
55,1,4,264,1,1.62313e-4,ASV_00055,IT1
55,1,2,36,2,6.1088e-4,ASV_00055,IT2
55,1,4,460,3,2.87145e-5,ASV_00055,IT3
55,3,240,NA,4,2.34767e-4,ASV_00055,FI1
55,1,1,371,5,6.02626e-4,ASV_00055,UK1
55,1,3,351,6,1.5903e-4,ASV_00055,UK2
55,2,438,NA,7,1.14981e-4,ASV_00055,SE1
56,1,4,74,1,2.84136e-4,ASV_00056,IT1
56,1,2,209,2,4.14178e-4,ASV_00056,IT2
56,1,4,490,3,2.05341e-5,ASV_00056,IT3
56,3,116,NA,4,3.618e-4,ASV_00056,FI1
56,1,1,59,5,9.19029e-4,ASV_00056,UK1
56,1,3,412,6,1.45126e-4,ASV_00056,UK2
56,2,32,NA,7,5.01232e-4,ASV_00056,SE1
57,1,4,134,1,2.47177e-4,ASV_00057,IT1
57,1,2,266,2,3.77324e-4,ASV_00057,IT2
57,1,4,385,3,4.51998e-5,ASV_00057,IT3
57,3,327,NA,4,1.06646e-4,ASV_00057,FI1
57,1,1,302,5,6.74844e-4,ASV_00057,UK1
57,1,3,163,6,2.08383e-4,ASV_00057,UK2
57,2,103,NA,7,3.88538e-4,ASV_00057,SE1
58,1,4,57,1,3.04457e-4,ASV_00058,IT1
58,1,2,351,2,3.24124e-4,ASV_00058,IT2
58,1,4,399,3,4.14957e-5,ASV_00058,IT3
58,3,44,NA,4,4.40249e-4,ASV_00058,FI1
58,1,1,60,5,9.18844e-4,ASV_00058,UK1
58,1,3,268,6,1.75978e-4,ASV_00058,UK2
58,2,241,NA,7,2.85426e-4,ASV_00058,SE1
59,1,4,1,1,4.91138e-4,ASV_00059,IT1
59,1,2,542,2,1.79678e-4,ASV_00059,IT2
59,1,4,384,3,4.53771e-5,ASV_00059,IT3
59,3,232,NA,4,2.40356e-4,ASV_00059,FI1
59,1,1,232,5,7.3871e-4,ASV_00059,UK1
59,1,3,239,6,1.84258e-4,ASV_00059,UK2
59,2,28,NA,7,5.1406e-4,ASV_00059,SE1
60,1,2,346,2,3.27484e-4,ASV_00060,IT2
60,3,191,NA,4,2.88186e-4,ASV_00060,FI1
60,1,1,423,5,5.34023e-4,ASV_00060,UK1
60,1,3,490,6,1.22273e-4,ASV_00060,UK2
60,2,276,NA,7,2.72413e-4,ASV_00060,SE1
61,1,2,410,2,2.8866e-4,ASV_00061,IT2
61,3,235,NA,4,2.39035e-4,ASV_00061,FI1
61,1,1,381,5,5.86089e-4,ASV_00061,UK1
61,1,3,354,6,1.57132e-4,ASV_00061,UK2
61,2,245,NA,7,2.83813e-4,ASV_00061,SE1
62,1,4,170,1,2.21139e-4,ASV_00062,IT1
62,1,2,444,2,2.61131e-4,ASV_00062,IT2
62,1,4,457,3,2.98895e-5,ASV_00062,IT3
62,3,109,NA,4,3.6905e-4,ASV_00062,FI1
62,1,1,391,5,5.77538e-4,ASV_00062,UK1
62,1,3,24,6,2.87874e-4,ASV_00062,UK2
62,2,436,NA,7,1.25466e-4,ASV_00062,SE1
63,1,4,47,1,3.11293e-4,ASV_00063,IT1
63,1,2,463,2,2.48069e-4,ASV_00063,IT2
63,1,4,373,3,4.83507e-5,ASV_00063,IT3
63,3,280,NA,4,1.79519e-4,ASV_00063,FI1
63,1,1,362,5,6.0774e-4,ASV_00063,UK1
63,1,3,236,6,1.84457e-4,ASV_00063,UK2
63,2,286,NA,7,2.6027e-4,ASV_00063,SE1
64,1,4,131,1,2.48997e-4,ASV_00064,IT1
64,1,2,112,2,4.94854e-4,ASV_00064,IT2
64,3,178,NA,4,2.98157e-4,ASV_00064,FI1
64,1,1,166,5,7.91289e-4,ASV_00064,UK1
64,1,3,603,6,8.24354e-5,ASV_00064,UK2
64,2,449,NA,7,1.05051e-4,ASV_00064,SE1
65,1,4,147,1,2.38338e-4,ASV_00065,IT1
65,1,2,352,2,3.24016e-4,ASV_00065,IT2
65,1,5,2,3,2.96314e-6,ASV_00065,IT3
65,1,1,363,5,6.07592e-4,ASV_00065,UK1
66,1,2,244,2,3.96027e-4,ASV_00066,IT2
66,3,223,NA,4,2.53101e-4,ASV_00066,FI1
66,1,1,290,5,6.84494e-4,ASV_00066,UK1
66,1,3,395,6,1.48344e-4,ASV_00066,UK2
66,2,393,NA,7,1.79285e-4,ASV_00066,SE1
67,1,4,287,1,1.33995e-4,ASV_00067,IT1
67,1,2,400,2,2.95029e-4,ASV_00067,IT2
67,1,4,425,3,3.71522e-5,ASV_00067,IT3
67,3,201,NA,4,2.74607e-4,ASV_00067,FI1
67,1,1,20,5,9.88016e-4,ASV_00067,UK1
67,1,3,305,6,1.69069e-4,ASV_00067,UK2
67,2,210,NA,7,3.01775e-4,ASV_00067,SE1
68,1,4,275,1,1.48994e-4,ASV_00068,IT1
68,1,2,356,2,3.21657e-4,ASV_00068,IT2
68,1,4,342,3,5.8747e-5,ASV_00068,IT3
68,1,1,416,5,5.45419e-4,ASV_00068,UK1
68,1,3,59,6,2.59398e-4,ASV_00068,UK2
69,1,2,419,2,2.83547e-4,ASV_00069,IT2
69,1,4,367,3,5.02797e-5,ASV_00069,IT3
69,3,222,NA,4,2.54318e-4,ASV_00069,FI1
69,1,1,478,5,3.61221e-4,ASV_00069,UK1
69,1,3,48,6,2.63605e-4,ASV_00069,UK2
69,2,418,NA,7,1.49695e-4,ASV_00069,SE1
70,1,4,125,1,2.51099e-4,ASV_00070,IT1
70,1,2,26,2,6.47542e-4,ASV_00070,IT2
70,1,4,378,3,4.73842e-5,ASV_00070,IT3
70,3,127,NA,4,3.5216e-4,ASV_00070,FI1
70,1,1,215,5,7.51302e-4,ASV_00070,UK1
70,1,3,387,6,1.49871e-4,ASV_00070,UK2
70,2,64,NA,7,4.32567e-4,ASV_00070,SE1
71,1,4,30,1,3.37117e-4,ASV_00071,IT1
71,1,2,249,2,3.91924e-4,ASV_00071,IT2
71,1,4,317,3,7.15221e-5,ASV_00071,IT3
71,3,94,NA,4,3.77533e-4,ASV_00071,FI1
71,1,1,452,5,4.73056e-4,ASV_00071,UK1
71,1,3,207,6,1.90873e-4,ASV_00071,UK2
71,2,274,NA,7,2.72739e-4,ASV_00071,SE1
72,1,2,254,2,3.89798e-4,ASV_00072,IT2
72,1,1,138,5,8.19958e-4,ASV_00072,UK1
72,1,3,432,6,1.40641e-4,ASV_00072,UK2
73,1,4,39,1,3.21258e-4,ASV_00073,IT1
73,1,2,135,2,4.72235e-4,ASV_00073,IT2
73,1,4,408,3,4.0433e-5,ASV_00073,IT3
73,1,1,297,5,6.78107e-4,ASV_00073,UK1
73,1,3,38,6,2.70469e-4,ASV_00073,UK2
74,1,2,207,2,4.15452e-4,ASV_00074,IT2
74,1,1,277,5,6.99793e-4,ASV_00074,UK1
74,1,3,390,6,1.49082e-4,ASV_00074,UK2
74,2,24,NA,7,5.24241e-4,ASV_00074,SE1
75,1,4,179,1,2.15599e-4,ASV_00075,IT1
75,1,2,161,2,4.52523e-4,ASV_00075,IT2
75,1,4,467,3,2.78004e-5,ASV_00075,IT3
75,1,1,420,5,5.39182e-4,ASV_00075,UK1
75,1,3,179,6,2.02892e-4,ASV_00075,UK2
76,1,4,72,1,2.84863e-4,ASV_00076,IT1
76,1,2,158,2,4.55564e-4,ASV_00076,IT2
76,1,4,360,3,5.18281e-5,ASV_00076,IT3
76,3,187,NA,4,2.92746e-4,ASV_00076,FI1
76,1,1,139,5,8.19862e-4,ASV_00076,UK1
76,1,3,496,6,1.20807e-4,ASV_00076,UK2
