node_id,level1,level2,level3,leaf_id,layer_id,flow,node_name,layer_name
7,1,2,9,1,3,5.24773e-5,ASV_00007,IT3
7,5,267,NA,NA,4,1.97666e-4,ASV_00007,FI1
7,1,1,120,NA,5,8.50229e-4,ASV_00007,UK1
7,4,57,NA,NA,6,2.58275e-4,ASV_00007,UK2
7,3,380,NA,NA,7,1.85793e-4,ASV_00007,SE1
8,6,238,NA,NA,1,1.75411e-4,ASV_00008,IT1
8,2,520,NA,NA,2,1.98528e-4,ASV_00008,IT2
8,1,2,5,1,3,6.18929e-5,ASV_00008,IT3
8,5,251,NA,NA,4,2.21221e-4,ASV_00008,FI1
8,1,1,236,NA,5,7.45743e-4,ASV_00008,UK1
8,4,567,NA,NA,6,9.66627e-5,ASV_00008,UK2
8,3,62,NA,NA,7,4.42008e-4,ASV_00008,SE1
9,6,210,NA,NA,1,1.91815e-4,ASV_00009,IT1
9,2,345,NA,NA,2,3.26479e-4,ASV_00009,IT2
9,1,2,4,17,3,2.36293e-5,ASV_00009,IT3
9,5,114,NA,NA,4,3.63916e-4,ASV_00009,FI1
9,1,1,407,NA,5,5.66346e-4,ASV_00009,UK1
9,4,334,NA,NA,6,1.60141e-4,ASV_00009,UK2
9,3,273,NA,NA,7,2.69949e-4,ASV_00009,SE1
10,6,18,NA,NA,1,3.60634e-4,ASV_00010,IT1
10,2,237,NA,NA,2,4.02703e-4,ASV_00010,IT2
10,1,2,10,2,3,3.89211e-5,ASV_00010,IT3
10,5,152,NA,NA,4,3.232e-4,ASV_00010,FI1
10,1,1,321,NA,5,6.63208e-4,ASV_00010,UK1
10,4,15,NA,NA,6,3.16826e-4,ASV_00010,UK2
10,3,124,NA,NA,7,3.68249e-4,ASV_00010,SE1
11,6,181,NA,NA,1,2.11414e-4,ASV_00011,IT1
11,2,10,NA,NA,2,7.37508e-4,ASV_00011,IT2
11,1,2,12,8,3,9.58981e-6,ASV_00011,IT3
11,5,326,NA,NA,4,1.10665e-4,ASV_00011,FI1
11,1,1,348,NA,5,6.23398e-4,ASV_00011,UK1
11,4,533,NA,NA,6,1.08085e-4,ASV_00011,UK2
11,3,201,NA,NA,7,3.06481e-4,ASV_00011,SE1
12,6,66,NA,NA,1,2.87369e-4,ASV_00012,IT1
12,2,512,NA,NA,2,2.06331e-4,ASV_00012,IT2
12,5,243,NA,NA,4,2.26684e-4,ASV_00012,FI1
12,1,1,415,NA,5,5.53646e-4,ASV_00012,UK1
12,4,374,NA,NA,6,1.50603e-4,ASV_00012,UK2
12,3,329,NA,NA,7,2.28548e-4,ASV_00012,SE1
13,6,8,NA,NA,1,3.95911e-4,ASV_00013,IT1
13,2,470,NA,NA,2,2.40485e-4,ASV_00013,IT2
13,1,2,1,11,3,5.38074e-5,ASV_00013,IT3
13,5,89,NA,NA,4,3.78427e-4,ASV_00013,FI1
13,1,1,16,NA,5,0.00101994,ASV_00013,UK1
13,4,445,NA,NA,6,1.35003e-4,ASV_00013,UK2
13,3,425,NA,NA,7,1.41352e-4,ASV_00013,SE1
14,6,295,NA,NA,1,1.11155e-4,ASV_00014,IT1
14,2,281,NA,NA,2,3.65438e-4,ASV_00014,IT2
14,1,2,3,2,3,6.77964e-5,ASV_00014,IT3
14,5,68,NA,NA,4,4.0115e-4,ASV_00014,FI1
14,1,1,449,NA,5,4.78501e-4,ASV_00014,UK1
14,4,505,NA,NA,6,1.14866e-4,ASV_00014,UK2
14,3,186,NA,NA,7,3.1537e-4,ASV_00014,SE1
15,6,213,NA,NA,1,1.89892e-4,ASV_00015,IT1
15,2,369,NA,NA,2,3.13985e-4,ASV_00015,IT2
15,1,2,11,2,3,4.25482e-5,ASV_00015,IT3
15,5,173,NA,NA,4,2.9941e-4,ASV_00015,FI1
15,1,1,400,NA,5,5.71458e-4,ASV_00015,UK1
15,4,314,NA,NA,6,1.64117e-4,ASV_00015,UK2
15,3,411,NA,NA,7,1.56006e-4,ASV_00015,SE1
16,2,105,NA,NA,2,5.10167e-4,ASV_00016,IT2
16,1,2,2,26,3,2.61608e-5,ASV_00016,IT3
16,5,63,NA,NA,4,4.09406e-4,ASV_00016,FI1
16,1,1,70,NA,5,9.1757e-4,ASV_00016,UK1
16,4,606,NA,NA,6,7.62745e-5,ASV_00016,UK2
16,3,348,NA,NA,7,2.14921e-4,ASV_00016,SE1
17,6,104,NA,NA,1,2.61764e-4,ASV_00017,IT1
17,2,459,NA,NA,2,2.48498e-4,ASV_00017,IT2
17,1,2,2,12,3,4.52683e-5,ASV_00017,IT3
17,1,1,4,NA,5,0.00113249,ASV_00017,UK1
17,4,400,NA,NA,6,1.44444e-4,ASV_00017,UK2
18,6,303,NA,NA,1,9.81812e-5,ASV_00018,IT1
18,2,261,NA,NA,2,3.84959e-4,ASV_00018,IT2
18,1,2,9,9,3,6.13742e-6,ASV_00018,IT3
18,5,46,NA,NA,4,4.36561e-4,ASV_00018,FI1
18,1,1,259,NA,5,7.25827e-4,ASV_00018,UK1
18,4,387,NA,NA,6,1.47998e-4,ASV_00018,UK2
18,3,271,NA,NA,7,2.71596e-4,ASV_00018,SE1
19,6,162,NA,NA,1,2.2428e-4,ASV_00019,IT1
19,2,148,NA,NA,2,4.65002e-4,ASV_00019,IT2
19,1,2,3,8,3,4.87603e-5,ASV_00019,IT3
19,5,310,NA,NA,4,1.50062e-4,ASV_00019,FI1
19,1,1,397,NA,5,5.761e-4,ASV_00019,UK1
19,4,595,NA,NA,6,8.3049e-5,ASV_00019,UK2
19,3,314,NA,NA,7,2.40945e-4,ASV_00019,SE1
20,6,225,NA,NA,1,1.84468e-4,ASV_00020,IT1
20,2,127,NA,NA,2,4.82852e-4,ASV_00020,IT2
20,1,2,8,8,3,1.64391e-5,ASV_00020,IT3
20,5,227,NA,NA,4,2.42272e-4,ASV_00020,FI1
20,1,1,132,NA,5,8.34459e-4,ASV_00020,UK1
20,4,235,NA,NA,6,1.82146e-4,ASV_00020,UK2
20,3,207,NA,NA,7,3.03037e-4,ASV_00020,SE1
21,2,340,NA,NA,2,3.30648e-4,ASV_00021,IT2
21,1,2,4,21,3,6.04058e-6,ASV_00021,IT3
21,5,123,NA,NA,4,3.54651e-4,ASV_00021,FI1
21,1,1,442,NA,5,0.00049848099999999995,ASV_00021,UK1
21,4,289,NA,NA,6,1.68923e-4,ASV_00021,UK2
21,3,274,NA,NA,7,2.69024e-4,ASV_00021,SE1
22,6,84,NA,NA,1,2.75118e-4,ASV_00022,IT1
22,2,16,NA,NA,2,6.76021e-4,ASV_00022,IT2
22,1,2,1,28,3,3.24829e-5,ASV_00022,IT3
22,5,272,NA,NA,4,1.89367e-4,ASV_00022,FI1
22,1,1,263,NA,5,7.2333e-4,ASV_00022,UK1
22,4,453,NA,NA,6,1.3374e-4,ASV_00022,UK2
22,3,19,NA,NA,7,5.52369e-4,ASV_00022,SE1
23,6,157,NA,NA,1,2.3094e-4,ASV_00023,IT1
23,2,80,NA,NA,2,5.32927e-4,ASV_00023,IT2
23,1,2,1,17,3,4.53333e-5,ASV_00023,IT3
23,5,92,NA,NA,4,3.75307e-4,ASV_00023,FI1
23,1,1,484,NA,5,3.35792e-4,ASV_00023,UK1
23,4,437,NA,NA,6,1.36156e-4,ASV_00023,UK2
23,3,391,NA,NA,7,1.79099e-4,ASV_00023,SE1
24,6,114,NA,NA,1,2.54473e-4,ASV_00024,IT1
24,2,270,NA,NA,2,3.74856e-4,ASV_00024,IT2
24,1,2,2,4,3,5.5872e-5,ASV_00024,IT3
24,5,30,NA,NA,4,4.67104e-4,ASV_00024,FI1
24,1,1,440,NA,5,5.0078e-4,ASV_00024,UK1
24,4,51,NA,NA,6,2.59959e-4,ASV_00024,UK2
24,3,52,NA,NA,7,4.61237e-4,ASV_00024,SE1
25,6,203,NA,NA,1,1.99708e-4,ASV_00025,IT1
25,2,13,NA,NA,2,6.98834e-4,ASV_00025,IT2
25,1,2,1,26,3,3.34938e-5,ASV_00025,IT3
25,1,1,381,NA,5,5.91732e-4,ASV_00025,UK1
26,6,46,NA,NA,1,3.11121e-4,ASV_00026,IT1
26,2,544,NA,NA,2,1.73337e-4,ASV_00026,IT2
26,1,2,2,5,3,4.88961e-5,ASV_00026,IT3
26,5,179,NA,NA,4,2.96104e-4,ASV_00026,FI1
26,1,1,464,NA,5,4.31982e-4,ASV_00026,UK1
26,4,583,NA,NA,6,9.04046e-5,ASV_00026,UK2
26,3,197,NA,NA,7,3.08098e-4,ASV_00026,SE1
27,3,259,NA,NA,7,2.78094e-4,ASV_00027,SE1
28,6,257,NA,NA,1,1.64047e-4,ASV_00028,IT1
28,2,348,NA,NA,2,3.25499e-4,ASV_00028,IT2
28,1,2,5,8,3,3.3125e-5,ASV_00028,IT3
28,5,246,NA,NA,4,2.24168e-4,ASV_00028,FI1
28,1,1,379,NA,5,5.93351e-4,ASV_00028,UK1
28,4,247,NA,NA,6,1.80056e-4,ASV_00028,UK2
28,3,137,NA,NA,7,3.5325e-4,ASV_00028,SE1
29,6,283,NA,NA,1,1.36132e-4,ASV_00029,IT1
29,2,380,NA,NA,2,3.04391e-4,ASV_00029,IT2
29,1,2,5,4,3,3.95133e-5,ASV_00029,IT3
29,5,57,NA,NA,4,4.17207e-4,ASV_00029,FI1
29,1,1,324,NA,5,6.59527e-4,ASV_00029,UK1
29,4,267,NA,NA,6,1.7489e-4,ASV_00029,UK2
29,3,449,NA,NA,7,1.01287e-4,ASV_00029,SE1
30,6,227,NA,NA,1,1.83532e-4,ASV_00030,IT1
30,2,132,NA,NA,2,4.78383e-4,ASV_00030,IT2
30,1,2,2,22,3,3.0645e-5,ASV_00030,IT3
30,5,139,NA,NA,4,3.39149e-4,ASV_00030,FI1
30,1,1,148,NA,5,8.1944e-4,ASV_00030,UK1
30,4,24,NA,NA,6,2.86179e-4,ASV_00030,UK2
30,3,85,NA,NA,7,4.0743e-4,ASV_00030,SE1
31,6,92,NA,NA,1,2.69392e-4,ASV_00031,IT1
31,2,165,NA,NA,2,4.52303e-4,ASV_00031,IT2
31,1,2,12,6,3,1.59621e-5,ASV_00031,IT3
31,5,16,NA,NA,4,5.04052e-4,ASV_00031,FI1
31,1,1,181,NA,5,7.88641e-4,ASV_00031,UK1
31,4,526,NA,NA,6,1.10173e-4,ASV_00031,UK2
31,3,126,NA,NA,7,3.64132e-4,ASV_00031,SE1
32,6,224,NA,NA,1,1.84925e-4,ASV_00032,IT1
32,2,433,NA,NA,2,2.71069e-4,ASV_00032,IT2
32,1,2,1,9,3,5.54316e-5,ASV_00032,IT3
32,5,167,NA,NA,4,3.08742e-4,ASV_00032,FI1
32,1,1,358,NA,5,6.19732e-4,ASV_00032,UK1
32,4,251,NA,NA,6,1.79294e-4,ASV_00032,UK2
32,3,133,NA,NA,7,3.55562e-4,ASV_00032,SE1
33,6,119,NA,NA,1,2.49391e-4,ASV_00033,IT1
33,2,219,NA,NA,2,4.11691e-4,ASV_00033,IT2
33,1,2,2,29,3,2.38756e-5,ASV_00033,IT3
33,5,23,NA,NA,4,4.92114e-4,ASV_00033,FI1
33,1,1,322,NA,5,6.63155e-4,ASV_00033,UK1
33,4,530,NA,NA,6,1.08857e-4,ASV_00033,UK2
33,3,39,NA,NA,7,4.82389e-4,ASV_00033,SE1
34,6,95,NA,NA,1,2.68739e-4,ASV_00034,IT1
34,2,126,NA,NA,2,4.82995e-4,ASV_00034,IT2
34,1,2,9,8,3,1.07834e-5,ASV_00034,IT3
34,5,7,NA,NA,4,5.4302e-4,ASV_00034,FI1
34,1,1,306,NA,5,6.76805e-4,ASV_00034,UK1
34,4,81,NA,NA,6,2.4213e-4,ASV_00034,UK2
34,3,423,NA,NA,7,1.41766e-4,ASV_00034,SE1
35,6,83,NA,NA,1,2.75289e-4,ASV_00035,IT1
35,2,285,NA,NA,2,3.62206e-4,ASV_00035,IT2
35,1,2,2,7,3,4.73397e-5,ASV_00035,IT3
35,5,130,NA,NA,4,3.47908e-4,ASV_00035,FI1
35,1,1,360,NA,5,6.1878e-4,ASV_00035,UK1
35,4,532,NA,NA,6,1.08152e-4,ASV_00035,UK2
35,3,401,NA,NA,7,1.71682e-4,ASV_00035,SE1
36,6,263,NA,NA,1,1.60129e-4,ASV_00036,IT1
36,2,32,NA,NA,2,6.2973e-4,ASV_00036,IT2
36,1,2,11,6,3,1.55396e-5,ASV_00036,IT3
36,5,229,NA,NA,4,2.4146e-4,ASV_00036,FI1
36,1,1,342,NA,5,6.42415e-4,ASV_00036,UK1
36,4,565,NA,NA,6,9.7073e-5,ASV_00036,UK2
36,3,159,NA,NA,7,3.36703e-4,ASV_00036,SE1
37,6,52,NA,NA,1,3.03719e-4,ASV_00037,IT1
37,2,296,NA,NA,2,3.55422e-4,ASV_00037,IT2
37,1,2,6,17,3,1.59878e-5,ASV_00037,IT3
37,1,1,241,NA,5,7.41673e-4,ASV_00037,UK1
37,4,439,NA,NA,6,1.35826e-4,ASV_00037,UK2
37,3,198,NA,NA,7,3.06979e-4,ASV_00037,SE1
38,6,197,NA,NA,1,2.02899e-4,ASV_00038,IT1
38,2,182,NA,NA,2,4.40501e-4,ASV_00038,IT2
38,1,2,13,4,3,1.6872e-5,ASV_00038,IT3
38,1,1,486,NA,5,2.89542e-4,ASV_00038,UK1
38,4,311,NA,NA,6,1.65169e-4,ASV_00038,UK2
39,2,154,NA,NA,2,4.61487e-4,ASV_00039,IT2
39,5,88,NA,NA,4,3.7862e-4,ASV_00039,FI1
39,1,1,384,NA,5,5.88301e-4,ASV_00039,UK1
39,4,331,NA,NA,6,1.61172e-4,ASV_00039,UK2
39,3,415,NA,NA,7,1.52205e-4,ASV_00039,SE1
40,6,76,NA,NA,1,2.78581e-4,ASV_00040,IT1
40,2,287,NA,NA,2,3.61245e-4,ASV_00040,IT2
40,1,2,9,2,3,4.72326e-5,ASV_00040,IT3
40,5,97,NA,NA,4,3.73404e-4,ASV_00040,FI1
40,1,1,451,NA,5,4.72952e-4,ASV_00040,UK1
40,4,118,NA,NA,6,2.22814e-4,ASV_00040,UK2
40,3,210,NA,NA,7,3.01207e-4,ASV_00040,SE1
41,6,67,NA,NA,1,2.84805e-4,ASV_00041,IT1
41,2,84,NA,NA,2,5.28603e-4,ASV_00041,IT2
41,1,2,10,4,3,3.1533e-5,ASV_00041,IT3
41,1,1,58,NA,5,9.2901e-4,ASV_00041,UK1
41,4,109,NA,NA,6,2.26031e-4,ASV_00041,UK2
41,3,171,NA,NA,7,3.28405e-4,ASV_00041,SE1
42,6,109,NA,NA,1,2.57451e-4,ASV_00042,IT1
42,2,121,NA,NA,2,4.88971e-4,ASV_00042,IT2
42,1,2,5,7,3,3.44734e-5,ASV_00042,IT3
42,5,66,NA,NA,4,4.07084e-4,ASV_00042,FI1
42,1,1,293,NA,5,6.8777e-4,ASV_00042,UK1
42,4,587,NA,NA,6,8.84296e-5,ASV_00042,UK2
42,3,118,NA,NA,7,3.74081e-4,ASV_00042,SE1
43,6,165,NA,NA,1,2.23334e-4,ASV_00043,IT1
43,2,239,NA,NA,2,3.9974e-4,ASV_00043,IT2
43,1,2,11,7,3,1.04374e-5,ASV_00043,IT3
43,1,1,147,NA,5,8.19841e-4,ASV_00043,UK1
43,4,480,NA,NA,6,1.22743e-4,ASV_00043,UK2
44,6,89,NA,NA,1,2.72537e-4,ASV_00044,IT1
44,2,351,NA,NA,2,3.22595e-4,ASV_00044,IT2
44,1,2,14,1,3,2.6417e-5,ASV_00044,IT3
44,5,52,NA,NA,4,4.25319e-4,ASV_00044,FI1
44,1,1,444,NA,5,4.9672e-4,ASV_00044,UK1
44,4,344,NA,NA,6,1.58154e-4,ASV_00044,UK2
44,3,287,NA,NA,7,2.6007e-4,ASV_00044,SE1
45,6,106,NA,NA,1,2.60739e-4,ASV_00045,IT1
45,2,99,NA,NA,2,5.16825e-4,ASV_00045,IT2
45,5,19,NA,NA,4,4.95333e-4,ASV_00045,FI1
45,1,1,174,NA,5,7.94631e-4,ASV_00045,UK1
45,4,591,NA,NA,6,8.55947e-5,ASV_00045,UK2
45,3,149,NA,NA,7,3.4401e-4,ASV_00045,SE1
46,6,60,NA,NA,1,2.97426e-4,ASV_00046,IT1
46,2,442,NA,NA,2,2.62134e-4,ASV_00046,IT2
46,1,2,4,6,3,5.08227e-5,ASV_00046,IT3
46,5,262,NA,NA,4,2.05602e-4,ASV_00046,FI1
46,1,1,48,NA,5,9.4572e-4,ASV_00046,UK1
46,4,355,NA,NA,6,1.54266e-4,ASV_00046,UK2
46,3,279,NA,NA,7,2.65704e-4,ASV_00046,SE1
47,6,284,NA,NA,1,1.35004e-4,ASV_00047,IT1
47,2,58,NA,NA,2,5.69601e-4,ASV_00047,IT2
47,1,2,7,11,3,2.45887e-5,ASV_00047,IT3
47,1,1,102,NA,5,8.82122e-4,ASV_00047,UK1
48,6,168,NA,NA,1,2.18283e-4,ASV_00048,IT1
48,2,529,NA,NA,2,1.89832e-4,ASV_00048,IT2
48,1,2,3,13,3,3.31187e-5,ASV_00048,IT3
48,5,28,NA,NA,4,4.8026e-4,ASV_00048,FI1
48,1,1,22,NA,5,9.92043e-4,ASV_00048,UK1
48,4,158,NA,NA,6,2.0883e-4,ASV_00048,UK2
48,3,266,NA,NA,7,2.72288e-4,ASV_00048,SE1
49,6,152,NA,NA,1,2.32484e-4,ASV_00049,IT1
49,2,150,NA,NA,2,4.64538e-4,ASV_00049,IT2
49,1,2,2,31,3,1.60241e-5,ASV_00049,IT3
49,1,1,15,NA,5,0.0010204,ASV_00049,UK1
49,4,438,NA,NA,6,1.36148e-4,ASV_00049,UK2
49,3,26,NA,NA,7,5.23254e-4,ASV_00049,SE1
50,2,252,NA,NA,2,3.93433e-4,ASV_00050,IT2
50,1,2,10,3,3,3.39337e-5,ASV_00050,IT3
50,5,65,NA,NA,4,4.08189e-4,ASV_00050,FI1
50,1,1,51,NA,5,9.41835e-4,ASV_00050,UK1
50,4,345,NA,NA,6,1.58121e-4,ASV_00050,UK2
50,3,302,NA,NA,7,2.46254e-4,ASV_00050,SE1
51,6,4,NA,NA,1,4.3144e-4,ASV_00051,IT1
51,2,456,NA,NA,2,2.50621e-4,ASV_00051,IT2
51,1,2,12,9,3,3.03464e-6,ASV_00051,IT3
51,5,212,NA,NA,4,2.63827e-4,ASV_00051,FI1
51,1,1,434,NA,5,5.20799e-4,ASV_00051,UK1
51,4,260,NA,NA,6,1.76695e-4,ASV_00051,UK2
51,3,172,NA,NA,7,3.27055e-4,ASV_00051,SE1
52,2,238,NA,NA,2,4.0124e-4,ASV_00052,IT2
52,1,2,1,19,3,4.46266e-5,ASV_00052,IT3
52,5,109,NA,NA,4,3.6636e-4,ASV_00052,FI1
52,1,1,418,NA,5,5.44434e-4,ASV_00052,UK1
52,4,572,NA,NA,6,9.41994e-5,ASV_00052,UK2
52,3,407,NA,NA,7,1.61841e-4,ASV_00052,SE1
53,6,133,NA,NA,1,2.4388e-4,ASV_00053,IT1
53,2,169,NA,NA,2,4.50001e-4,ASV_00053,IT2
53,1,2,4,12,3,3.39628e-5,ASV_00053,IT3
53,5,38,NA,NA,4,4.55623e-4,ASV_00053,FI1
53,1,1,278,NA,5,7.06714e-4,ASV_00053,UK1
53,4,94,NA,NA,6,2.36397e-4,ASV_00053,UK2
53,3,455,NA,NA,7,8.27148e-5,ASV_00053,SE1
54,6,71,NA,NA,1,2.80667e-4,ASV_00054,IT1
54,2,157,NA,NA,2,4.57893e-4,ASV_00054,IT2
54,1,2,2,3,3,6.19902e-5,ASV_00054,IT3
54,5,73,NA,NA,4,3.94866e-4,ASV_00054,FI1
54,1,1,436,NA,5,5.13967e-4,ASV_00054,UK1
54,4,62,NA,NA,6,2.55568e-4,ASV_00054,UK2
54,3,311,NA,NA,7,2.41872e-4,ASV_00054,SE1
55,6,268,NA,NA,1,1.53945e-4,ASV_00055,IT1
55,2,39,NA,NA,2,6.12768e-4,ASV_00055,IT2
55,1,2,3,18,3,2.15996e-5,ASV_00055,IT3
55,5,240,NA,NA,4,2.28244e-4,ASV_00055,FI1
55,1,1,371,NA,5,6.04693e-4,ASV_00055,UK1
55,4,368,NA,NA,6,1.51802e-4,ASV_00055,UK2
55,3,441,NA,NA,7,1.0824e-4,ASV_00055,SE1
56,6,77,NA,NA,1,2.78354e-4,ASV_00056,IT1
56,2,221,NA,NA,2,4.10766e-4,ASV_00056,IT2
56,1,2,12,7,3,1.54196e-5,ASV_00056,IT3
56,5,121,NA,NA,4,3.57084e-4,ASV_00056,FI1
56,1,1,64,NA,5,9.2648e-4,ASV_00056,UK1
56,4,440,NA,NA,6,1.35737e-4,ASV_00056,UK2
56,3,33,NA,NA,7,4.9969e-4,ASV_00056,SE1
57,6,139,NA,NA,1,2.40817e-4,ASV_00057,IT1
57,2,272,NA,NA,2,3.7304e-4,ASV_00057,IT2
57,1,2,2,16,3,3.88161e-5,ASV_00057,IT3
57,5,327,NA,NA,4,9.67905e-5,ASV_00057,FI1
57,1,1,305,NA,5,6.76987e-4,ASV_00057,UK1
57,4,180,NA,NA,6,2.00451e-4,ASV_00057,UK2
57,3,108,NA,NA,7,3.84397e-4,ASV_00057,SE1
58,6,58,NA,NA,1,2.98062e-4,ASV_00058,IT1
58,2,360,NA,NA,2,3.18111e-4,ASV_00058,IT2
58,1,2,12,3,3,3.23253e-5,ASV_00058,IT3
58,5,47,NA,NA,4,4.36108e-4,ASV_00058,FI1
58,1,1,66,NA,5,9.25742e-4,ASV_00058,UK1
58,4,307,NA,NA,6,1.65969e-4,ASV_00058,UK2
58,3,258,NA,NA,7,2.78586e-4,ASV_00058,SE1
59,6,1,NA,NA,1,4.8931e-4,ASV_00059,IT1
59,2,545,NA,NA,2,1.71852e-4,ASV_00059,IT2
59,1,2,1,22,3,4.03082e-5,ASV_00059,IT3
59,5,237,NA,NA,4,2.33035e-4,ASV_00059,FI1
59,1,1,238,NA,5,7.42516e-4,ASV_00059,UK1
59,4,262,NA,NA,6,1.76164e-4,ASV_00059,UK2
59,3,28,NA,NA,7,5.13239e-4,ASV_00059,SE1
60,2,350,NA,NA,2,3.25189e-4,ASV_00060,IT2
60,5,191,NA,NA,4,2.84692e-4,ASV_00060,FI1
60,1,1,426,NA,5,5.35997e-4,ASV_00060,UK1
60,4,498,NA,NA,6,1.16096e-4,ASV_00060,UK2
60,3,275,NA,NA,7,2.68673e-4,ASV_00060,SE1
61,2,415,NA,NA,2,2.85346e-4,ASV_00061,IT2
61,5,236,NA,NA,4,2.34956e-4,ASV_00061,FI1
61,1,1,382,NA,5,5.88982e-4,ASV_00061,UK1
61,4,372,NA,NA,6,1.51101e-4,ASV_00061,UK2
61,3,254,NA,NA,7,2.80504e-4,ASV_00061,SE1
62,6,173,NA,NA,1,2.14914e-4,ASV_00062,IT1
62,2,449,NA,NA,2,2.5563e-4,ASV_00062,IT2
62,1,2,8,7,3,2.36269e-5,ASV_00062,IT3
62,5,110,NA,NA,4,3.65274e-4,ASV_00062,FI1
62,1,1,395,NA,5,5.78426e-4,ASV_00062,UK1
62,4,29,NA,NA,6,2.82513e-4,ASV_00062,UK2
62,3,437,NA,NA,7,1.18922e-4,ASV_00062,SE1
63,6,49,NA,NA,1,3.06573e-4,ASV_00063,IT1
63,2,465,NA,NA,2,2.43792e-4,ASV_00063,IT2
63,1,2,12,1,3,4.16225e-5,ASV_00063,IT3
63,5,285,NA,NA,4,1.71407e-4,ASV_00063,FI1
63,1,1,368,NA,5,6.09349e-4,ASV_00063,UK1
63,4,256,NA,NA,6,1.77522e-4,ASV_00063,UK2
63,3,293,NA,NA,7,2.54658e-4,ASV_00063,SE1
64,6,136,NA,NA,1,2.43031e-4,ASV_00064,IT1
64,2,118,NA,NA,2,4.94641e-4,ASV_00064,IT2
64,5,183,NA,NA,4,2.93152e-4,ASV_00064,FI1
64,1,1,169,NA,5,7.97354e-4,ASV_00064,UK1
64,4,609,NA,NA,6,7.40977e-5,ASV_00064,UK2
64,3,452,NA,NA,7,9.63435e-5,ASV_00064,SE1
65,6,143,NA,NA,1,2.38776e-4,ASV_00065,IT1
65,2,347,NA,NA,2,3.26304e-4,ASV_00065,IT2
65,2,567,NA,NA,3,2.92515e-6,ASV_00065,IT3
65,1,1,362,NA,5,6.15113e-4,ASV_00065,UK1
66,2,244,NA,NA,2,3.95763e-4,ASV_00066,IT2
66,5,222,NA,NA,4,2.49478e-4,ASV_00066,FI1
66,1,1,290,NA,5,6.90063e-4,ASV_00066,UK1
66,4,406,NA,NA,6,1.4365e-4,ASV_00066,UK2
66,3,397,NA,NA,7,1.74562e-4,ASV_00066,SE1
67,6,291,NA,NA,1,1.24909e-4,ASV_00067,IT1
67,2,410,NA,NA,2,2.8879e-4,ASV_00067,IT2
67,1,2,1,30,3,3.07542e-5,ASV_00067,IT3
67,5,207,NA,NA,4,2.68369e-4,ASV_00067,FI1
67,1,1,20,NA,5,9.97646e-4,ASV_00067,UK1
67,4,340,NA,NA,6,1.59165e-4,ASV_00067,UK2
